,Unnamed: 0,question,label
0,0,Handling the EditText send keyboard event for Android API16,low
1,1,EditText: how to enable/disable input?,low
2,2,Mobile web - Displaying a fixed div below a relative div if the relative div is shown,low
3,3,How to create tabbed view in HTML?,low
4,4,Problems decrypting HTTP Live Stream,low
5,5,Google Analytics picking up traffic and code not implemented on site?,low
6,6,Inserting correct x and y values in DB,low
7,7,Cannot start Webdyn Pro Java application after project deployment,low
8,8,Visual Studio: automatically build multiple solutions,low
9,9,Referencing Assemblies in Metro/JavaScript Application,low
10,10,CUDA concurrent execution,low
11,11,Cannot run a servlet inside Tomcat,low
12,12,MatLab - Gaussian elimination with scaled row pivoting,high
13,13,"Compilation error - ""The JDK Home Path Has Not Been Set"" after installing JDK",low
14,14,Accessing Python Dictionary Elements,low
15,15,Processing of form with redirect [plesk/zend],low
16,16,Anyone have book or link about passing parameters between functions?,low
17,17,facebook like button - both sdk and like provided script?,low
18,18,Get xpath() to return empty values,low
19,19,1045 PHPMyAdmin error using GAE,low
20,20,Change backgound of child if parent :hover,low
21,21,How to Customize the tooltip being displayed in Google Vislization charts,low
22,22,Remote debugging threads with different debuggers,high
23,23,ideavim in intellij is there a shortcut to goto next error?,low
24,24,Android java testing float negative and postiive values doesn't work as it shoul?,low
25,25,localhost and Javascript,low
26,26,Is there a tool like Reflector for COM libraries?,low
27,27,How can I layout a line with an arrow in a flexible grid?,low
28,28,Listening for a particular pattern,low
29,29,what is the best prectice of declaring variable in Spring MVC Controller,low
30,30,Adding to virtual function in derived class,low
31,31,How to set default PS1 value for interactive python?,low
32,32,Auth::check returns false in AppServiceProvider,low
33,33,Fade In after initial fade,low
34,34,If Statement and toggleClass,low
35,35,Tab change event of prime faces accordion doesnot fire for the first two times,high
36,36,pymysql fetchall() results as dictionary?,low
37,37,A good way to store/read a large amount of strings?,low
38,38,Conroller Class in spring mvc,low
39,39,"Multiple request body parameters, one of which is a Stream. When the Stream is a parameter, there can be no other parameters in the body",low
40,40,android measure different values,low
41,41,jquery validate with html5 pattern,low
42,42,C Server http response . Body not parsed,low
43,43,MySQL - Saving items,low
44,44,How to Set Equal Width or Equal Height in StackView?,low
45,45,Loading XLL in Excel: any difference between Tools->AddIn and File->Open?,low
46,46,Error Installing Xcode 3.2.5 along with iOS SDk 4.2,low
47,47,re-use views on rails,low
48,48,PySpark OSError: [Errno 12] Cannot allocate memory,high
49,49,Integer Input validation asp.net mvc4,low
50,50,"change jquery file, so I would use with other name",low
51,51,Independently reusing a declared strong property,low
52,52,Parsing multiple PHP code blocks among HTML,low
53,53,Is websocket connectivity as default maintained without polling in mobile?,high
54,54,jQuery tmpl adds double Quotes to image Tag,low
55,55,Merge multiple list with intersection and add the items,low
56,56,evaluated boolean return value in mssql - possible?,low
57,57,A complicated python except,low
58,58,LOAD DATA INFILE - Two Default Columns,low
59,59,Escaping % in MySQLdb,low
60,60,Add iOS speech recognition support for web app?,low
61,61,AngularJs API references,low
62,62,How could I change the duration of zoomToRect in Swift?,low
63,63,Pop-up Event Handler,low
64,64,json decode non-utf-8 chars,low
65,65,get right position of Element? jQuery or javascript,low
66,66,Doctrine Query Builder Delete Statement,low
67,67,Why is req.params returning 'undefined'?,low
68,68,The length of HList type paremeter in terms of Nat,low
69,69,Nagios timeperiod and notification period,low
70,70,Hyphens in SlugField,low
71,71,Compressing/decompressing gzip into memory with boost,low
72,72,How to prevent Github webhook from triggering when a specific user checks in code,low
73,73,How can I ask Wolfram Alpha to rearrange an equation?,low
74,74,JBoss 7.1.1.Final Deployment Error: JandexAnnotationProvider is not an instance of AnnotationProvider,low
75,75,Linq expression to validate if list is ordered ascending or descending,low
76,76,comparing two REST services to each other,high
77,77,Is there a way to retrieve every responder that has handled a UITouch?,low
78,78,MySQL - Move data between partitions aka re-partition,low
79,79,How to make a part of BufferGeometry Transparent?,low
80,80,Custom ValidationMessageFor Template,low
81,81,How to share package between multiple projects in NetBeans,low
82,82,Why does GetAssemblyName mscorlib throw an exception?,low
83,83,How can I fix mitmproxy is not showing app traffic,low
84,84,Releasing a COM object reference safely from .NET,low
85,85,"Common Framework that supports , Web Site Project and Web Application Project both",low
86,86,"FBSDKLoginMangerLoginResult, NSError Swift 7.3.1",low
87,87,Facebook login in android application is not working,low
88,88,"Create a space in image to place another image on it using php, jquery",low
89,89,css fit 2 elements to 100% width,low
90,90,How to change Paragraph Margin in Windows Phone 8 XAML?,low
91,91,Set a maximum sizehint for a specific column in a table,low
92,92,polymer core-list with core-ajax data,low
93,93,Best Practice for Adding WCF Web Service to Existing Web site,high
94,94,Android setDisplayOrientation,low
95,95,changing the default issue labels,low
96,96,Joomla: Three different Layouts on Home Page With different Modules Positioned,low
97,97,Error #520009 - Account is restricted,low
98,98,Python differences between running as script and running via interactive shell,low
99,99,JavaScript - Manipulation HTMLElements inside JS object,low
100,100,Does watching HD videos slow down my program using the CUDA CPU?,low
101,101,UIwebView optimize in real time the size (mb) of all the images,low
102,102,Using Counter() in Python to build histogram?,low
103,103,How can/should Zend Framework 2 be included to a Git versioned project?,low
104,104,Have I completely misunderstood ASP.Net AJAX (Update Panel)?,low
105,105,Background c program for keyboard mapping,low
106,106,Bigquery will run query but not save view,low
107,107,MySQL inserts new fake row every 24 hours,low
108,108,Adding Diffs of Rsync To Git,low
109,109,How can I calculate all field and post (SQL/or onCalcFields),low
110,110,Google App Engine CSS Problem,low
111,111,How wipe out p:message from p:dialog on close?,low
112,112,T-SQL Create a view with no lock for all tables in a database,low
113,113,"Why does adding ""helper: ""clone"";"" to this ui-draggable element prevent it from being dragged?",low
114,114,Prerequisite showing on OS that was not specified,low
115,115,How can I invalidate session in resource listener's 'onDisconnect' event?,low
116,116,SQL: How to compare datetime with whitespace,low
117,117,Error when running whole script vs step by step,low
118,118,How to get file size in template?,low
119,119,Database design for a small CRM/invoicing system,high
120,120,Multiple static variable scopes within same application?,low
121,121,How to highlight the dictionary-like syntax in vim?,low
122,122,Can I load both images and video in the same pixi.js Loader,low
123,123,Working with Combinations/Probability in Excel,low
124,124,jQuery - How to auto load content every one minute using load(),low
125,125,Parameterise functions to automate website using selenium webdriver with Python,low
126,126,Which framework is necessary for plotting spectrum using FFTW3/ QWT,low
127,127,Acquire Marker's location on Android using Google maps api,low
128,128,Conditionally display a ViewController Xcode - iOS App,low
129,129,using require and backbone to load templates via html file and not script tag,low
130,130,PHP script not handling accented characters well,low
131,131,Firepad's color button does not change color of the text,low
132,132,Trying to create an android app from a book and getting NullPointerException error at function setStartUpScreenText() on line 2,low
133,133,Unable to Create a Database in Blackberry eclipse,low
134,134,T-SQL request execution runs into timeout if execution time is much longer than prior execution,high
135,135,Rails templates documentation,low
136,136,Macro that allows assignment or exists the current function,low
137,137,how to efficiently calculate polynomal expansion coefficients with mathematica?,high
138,138,Two Data sent during internet slow down in my HTTP Request?,low
139,139,"How can I remove the ""No file chosen"" tooltip from a file input in Chrome?",low
140,140,Is a Singly Linked List Palindrome? JAVA,low
141,141,Why do images disappear?,low
142,142,certain div styles unresponsive,low
143,143,Accessing the number of times a variable is used in a HashMap?,low
144,144,Find exit code for executing a cmd command through powershell,low
145,145,Structure of JqueryMobile pages?,low
146,146,Google places api's in android,low
147,147,"Pycharm, can not find Python version 2.7.11",low
148,148,C# Export datagridview Selected rows to Word,low
149,149,TSQLQuery only streams first 1MB of data correctly for large strings,high
150,150,Add a user specified number to a number already in a file. (python),low
151,151,How do I get related data of a different type in MySQL?,low
152,152,Detect if Google Analytics eCommerce Tracking is enabled via Google Analytics API,low
153,153,Using a handler to delay a repeated task for a limited number of times,low
154,154,span tag inside a dynamically generated td - jquery,low
155,155,Why does self.navigationController become nil?,low
156,156,Does jQuery offer an overlay with background fade widget?,low
157,157,Autocomplete web form with ruby on rails,low
158,158,Highcharts csv data loading,low
159,159,How to replace goroutines loop by channels in Go,low
160,160,Visualize the difference from target value with bar charts,low
161,161,Extracting a string from a text file in python 2.7.5,low
162,162,Android: Web Services using Soap,low
163,163,"How can I scrape, parse and crawl files in Ruby?",high
164,164,Using Emmet with Zurb Foundation Class selectors,low
165,165,Need help to fix the GUI,high
166,166,Choosing a category in dropdown and inserting a vlue using textbox,low
167,167,Does a method marshalled on the UI Thread need to be thread-safe,low
168,168,python: file paths no longer work with imp,low
169,169,Read input from console in Ruby?,low
170,170,Uncss Twitter Bootstrap Modal,low
171,171,Is the 'Self' construct useful in Silverlight/MVVM?,low
172,172,how to redirect apache port 80 to jetty port 8080?,low
173,173,Embedded MongoDb Insertion using node js array insertion,low
174,174,How to construct a matrix based on an array in numpy?,low
175,175,SQLITE insert into database issue Windows Phone C#,low
176,176,How to resolve tomcat version conflict in eclipse,low
177,177,App rejected from app store,low
178,178,Links not working in Framework7,low
179,179,How do I get the field name of my id field related from ManyToOne relationship?,low
180,180,angular2 rc6 custom global pipes; PLATFORM_PIPES,low
181,181,How to create a column in SQL Server Compact Edition using SQL Server Management Studio (2008) ,low
182,182,Change title text color in PreferenceActivity,low
183,183,recv returns 0 instead of -1 when client crashes,low
184,184,file_get_contents can't find my file,low
185,185,Difference between roboGuice and butter knife dependency injection,high
186,186,Public Fields versus Automatic Properties,low
187,187,Deserializing recursive JSON to C# with JSON.NET,low
188,188,jquery append element id is not identified,low
189,189,How to build gstreamer 1.0 C# .Net bindings on Windows 7?,high
190,190,Error when passing an int EXC_BREAKPOINT(code=1 Swift Xcode ios,low
191,191,call controller from a view,low
192,192,"How can I ""reconstruct"" the background of an image with Python?",low
193,193,css inline don't work with multiple elements,low
194,194,dhtmlx grid smartrender not work normally after sorting with splitAt mode,low
195,195,Criteria and caching in Doctrine,low
196,196,Put and get String array from shared preferences,low
197,197,Single query for several selects -even if one select returns empty,low
198,198,MIPS Instruction J-Format,low
199,199,Java Long toString returns exponential notation format,low
200,200,How to check specific number of checbox from 2 DIVs and disable remaining using Jquery,low
201,201,Disable Enter in editText android,low
202,202,Applescript (list choices),low
203,203,Windows 8: How do I implement code reuse of SQLite operations outside of client executable,low
204,204,python groupby reshape by date id forcing each id by date,low
205,205,iPhone sdk how to retrieve the Table of Contents from PDF file?,low
206,206,How many stacks are required to implement the iterative version of De Casteljau's algorithm?,low
207,207,How do you make your datasource a string in Swift?,low
