,question,label
0,Handling the EditText send keyboard event for Android API16,"Rating: Low Complexity. Justification: The question involves a specific functionality in Android's EditText component, which is a basic concept with straightforward syntax and usage."
1,EditText: how to enable/disable input?,Rating: Low Complexity. Justification: This is a straightforward question that can be answered with a brief explanation of a common programming concept or a simple code snippet involving basic syntax/API usage.
2,Mobile web - Displaying a fixed div below a relative div if the relative div is shown,"Rating: Low Complexity. Justification: This question involves basic CSS layout and positioning concepts, which can be addressed with a straightforward code snippet or explanation."
3,How to create tabbed view in HTML?,"Rating: Low Complexity. Justification: This question involves fundamental HTML syntax and basic UI concepts, which can be answered with a straightforward code snippet or explanation of a simple concept."
4,Problems decrypting HTTP Live Stream,"Rating: Low Complexity. Justification: The problem is likely related to a specific implementation or configuration issue with HTTP Live Stream (HLS) decryption, which can be addressed with a straightforward code snippet or explanation of basic concepts."
5,Google Analytics picking up traffic and code not implemented on site?,"Rating: Low Complexity. Justification: The question involves a straightforward concept (Google Analytics) and a common issue (traffic being tracked without any custom code implementation), which can be easily explained or diagnosed with minimal code snippet."
6,Inserting correct x and y values in DB,"Rating: Low Complexity. Justification: The question appears to be related to basic database operations, involving the insertion of specific column values, which is a straightforward concept."
7,Cannot start Webdyn Pro Java application after project deployment,"Rating: Low Complexity. Justification: The question appears to be related to a specific error or issue with deploying a Java application, which can likely be resolved by troubleshooting a common problem or identifying a simple configuration mistake."
8,Visual Studio: automatically build multiple solutions,"Rating: Low Complexity. Justification: The question is asking for a straightforward feature in an IDE (Visual Studio), which can be answered with a concise explanation or a simple code snippet."
9,Referencing Assemblies in Metro/JavaScript Application,"Rating: Low Complexity. Justification: The question appears to be asking about referencing assemblies in a Metro/JavaScript application, which is a basic concept that can be answered with a straightforward explanation or code snippet."
10,CUDA concurrent execution,"Rating: Low Complexity. Justification: The question appears to be about a specific programming concept or library usage, focusing on CUDA's concurrency features without involving complex systems or algorithms."
11,Cannot run a servlet inside Tomcat,Rating: Low Complexity. Justification: This is a basic error or configuration issue that can be resolved with straightforward troubleshooting steps and possibly a simple code snippet or configuration adjustment.
12,MatLab - Gaussian elimination with scaled row pivoting,"Rating: High Complexity. Justification: The question involves a specific algorithm (Gaussian elimination) and pivoting technique (scaled row pivoting), which requires an understanding of linear algebra and numerical methods, making it a complex problem that goes beyond basic syntax or library usage."
13,"Compilation error - ""The JDK Home Path Has Not Been Set"" after installing JDK",Rating: Low Complexity. Justification: This is a straightforward installation-related error that can be resolved with a simple solution or clarification on how to set the JDK home path.
14,Accessing Python Dictionary Elements,"Rating: Low Complexity. Justification: This question involves accessing elements of a basic data structure (Python dictionary), which is a fundamental concept in programming and can be answered with a straightforward explanation or code snippet."
15,Processing of form with redirect [plesk/zend],Rating: Low Complexity. Justification: The question focuses on a specific programming concept (processing a form with redirect) and involves basic language syntax or API usage without intricate interactions.
16,Anyone have book or link about passing parameters between functions?,"Rating: Low Complexity. Justification: The question is straightforward and can be answered with a simple explanation of function parameter passing in programming languages, likely involving basic syntax or API usage."
17,facebook like button - both sdk and like provided script?,Rating: Low Complexity. Justification: This question appears to be asking about a specific feature (Facebook Like Button) that can be addressed with existing documentation or straightforward code snippets.
18,Get xpath() to return empty values,Rating: Low Complexity. Justification: This question can be answered with a straightforward code snippet or explanation of basic XML processing concepts.
19,1045 PHPMyAdmin error using GAE,"Rating: Low Complexity. Justification: The question appears to be related to a specific error in using PHPMyAdmin with Google App Engine (GAE), which can likely be resolved with a simple configuration change or troubleshooting step, making it a straightforward and basic problem."
20,Change backgound of child if parent :hover,"Rating: Low Complexity. Justification: This question involves a specific CSS selector and hover effect, which can be answered with a concise code snippet or explanation of basic CSS concepts."
21,How to Customize the tooltip being displayed in Google Vislization charts,"Rating: Low Complexity. Justification: This is a straightforward question that can be answered with a brief explanation of how to customize the tooltip in Google Visualization charts, likely involving API usage or configuration options."
