question,label
"What is a variable in programming?",low
"Define a data structure.",low
"What is an integer?",low
"What is a string data type?",low
"Explain the purpose of a boolean data type.",low
"What is an array?",low
"What is a linked list?",low
"What is a stack?",low
"What is a queue?",low
"What does FIFO stand for in the context of queues?",low
"What does LIFO stand for in the context of stacks?",low
"What is a hash table?",low
"What is a binary tree?",low
"What is the root node in a tree?",low
"What is a leaf node in a tree?",low
"What is a graph data structure?",low
"What is an algorithm?",low
"What is pseudocode?",low
"What is a compiler?",low
"What is an interpreter?",low
"Explain the difference between a compiler and an interpreter.",low
"What is syntax in programming?",low
"What is a function or method?",low
"What are the parameters of a function?",low
"What is a return value?",low
"What is a loop?",low
"Explain a 'for' loop.",low
"Explain a 'while' loop.",low
"What is a conditional statement?",low
"Explain the 'if-else' statement.",low
"What is Object-Oriented Programming (OOP)?",low
"What is a class?",low
"What is an object?",low
"What is encapsulation?",low
"What is inheritance?",low
"What is polymorphism?",low
"What is abstraction in OOP?",low
"What is SQL?",low
"What is a database?",low
"What is a table in a database?",low
"What is a primary key?",low
"What is a foreign key?",low
"What does the SQL SELECT statement do?",low
"What is the purpose of the WHERE clause in SQL?",low
"What is Git?",low
"What is a repository in Git?",low
"What does the 'git commit' command do?",low
"What is a branch in Git?",low
"What is the purpose of the 'git clone' command?",low
"What is HTML?",low
"What is CSS?",low
"What is JavaScript?",low
"What is an IP address?",low
"What is a server?",low
"What is a client in a client-server model?",low
"What is an API?",low
"What does HTTP stand for?",low
"What is the purpose of a web browser?",low
"What is debugging?",low
"What is a breakpoint in debugging?",low
"What is version control?",low
"What is the difference between an argument and a parameter?",low
"What is recursion?",low
"What is a base case in recursion?",low
"What is time complexity?",low
"What is space complexity?",low
"What is Big O notation?",low
"What is a sorting algorithm?",low
"Explain bubble sort.",low
"What is a search algorithm?",low
"Explain linear search.",low
"What is a pointer?",low
"What is memory allocation?",low
"What is the difference between stack and heap memory?",low
"What is a data type?",low
"What is a character data type?",low
"What is a floating-point number?",low
"What is a comment in code?",low
"What is a library in programming?",low
"What is a framework?",low
"What is the main function in C++ or Java?",low
"What is a constructor?",low
"What is a destructor?",low
"What does the 'null' value represent?",low
"What is an exception?",low
"What is exception handling?",low
"What is a 'try-catch' block?",low
"What is a variable's scope?",low
"What is a global variable?",low
"What is a local variable?",low
"What is a constant?",low
"What is an operator?",low
"What are arithmetic operators?",low
"What are logical operators?",low
"What is a bitwise operator?",low
"What is a command-line interface (CLI)?",low
"What is a graphical user interface (GUI)?",low
"What is an IDE (Integrated Development Environment)?",low
"What is source code?",low
"What is a binary number?",low
"What is hexadecimal?",low
"What is ASCII?",low
"What is Unicode?",low
"What is a module in Python?",low
"What is a package in Python?",low
"What does the 'import' statement do?",low
"What is a dictionary in Python?",low
"What is a set in Python?",low
"What is the difference between a list and a tuple in Python?",low
"What is a static method?",low
"What is an instance method?",low
"What is a class variable?",low
"What is an instance variable?",low
"What is method overloading?",low
"What is method overriding?",low
"What is a superclass or base class?",low
"What is a subclass or derived class?",low
"What is an abstract class?",low
"What is an interface?",low
"What is a JOIN clause in SQL?",low
"Explain an INNER JOIN.",low
"Explain a LEFT JOIN.",low
"What is the purpose of the GROUP BY clause in SQL?",low
"What is an aggregate function in SQL?",low
"What is the purpose of the 'git push' command?",low
"What is the purpose of the 'git pull' command?",low
"What is a merge conflict in Git?",low
"What is a firewall?",low
"What is encryption?",low
"What is a cookie in web development?",low
"What is a session in web development?",low
"What is a CDN (Content Delivery Network)?",low
"What is a DNS (Domain Name System)?",low
"What is a file system?",low
"What is a thread in programming?",low
"What is multithreading?",low
"What is a process?",low
"What is the difference between a process and a thread?",low
"What is a deadlock?",low
"What is a race condition?",low
"What is a semaphore?",low
"What is a mutex?",low
"What is serialization?",low
"What is JSON?",low
"What is XML?",low
"What is the difference between JSON and XML?",low
"What is a regular expression?",low
"What is a lambda function or anonymous function?",low
"What is a higher-order function?",low
"What is a closure in JavaScript?",low
"What is hoisting in JavaScript?",low
"What is the difference between '==' and '===' in JavaScript?",low
"What is the DOM (Document Object Model)?",low
"What is an event in JavaScript?",low
"What is event bubbling?",low
"What is AJAX?",low
"What is a promise in JavaScript?",low
"What is a virtual machine?",low
"What is garbage collection?",low
"What is a memory leak?",low
"What is a data model?",low
"What is data normalization?",low
"What is a database index?",low
"What is a stored procedure?",low
"What is a database trigger?",low
"What is a view in SQL?",low
"What is a transaction in a database context?",low
"What are the ACID properties?",low
"What is a NoSQL database?",low
"What is the difference between SQL and NoSQL databases?",low
"What is a key-value store?",low
"What is a document store?",low
"What is a graph database?",low
"What is scalability?",low
"What is the difference between horizontal and vertical scaling?",low
"What is a load balancer?",low
"What is caching?",low
"What is a message queue?",low
"What is a web server?",low
"What is an application server?",low
"What is REST?",low
"What are the principles of RESTful API design?",low
"What is a microservices architecture?",low
"What is a monolithic architecture?",low
"What is DevOps?",low
"What is continuous integration (CI)?",low
"What is continuous delivery (CD)?",low
"What is a container (like Docker)?",low
"What is container orchestration (like Kubernetes)?",low
"What is cloud computing?",low
"What is Infrastructure as a Service (IaaS)?",low
"What is Platform as a Service (PaaS)?",low
"What is Software as a Service (SaaS)?",low
"What is a unit test?",low
"What is an integration test?",low
"What is an end-to-end test?",low
"What is test-driven development (TDD)?",low
"What is agile methodology?",low
"What is scrum?",low
"What is a sprint in scrum?",low
"What is a user story?",low
"What is a design pattern?",low
"Explain the Singleton design pattern.",low
"Explain the Factory design pattern.",low
"What is a bit?",low
"What is a byte?",low
"What is machine learning?",low
"What is supervised learning?",low
"What is unsupervised learning?",low
"What is a neural network?",low
"What is deep learning?",low
"What is a character encoding?",low
"What is UTF-8?",low
"What is a software development life cycle (SDLC)?",low
"What is the Waterfall model?",low
"What is a command in SQL?",low
"What is DDL (Data Definition Language)?",low
"What is DML (Data Manipulation Language)?",low
